Id,Name,Category,ChestMain,DeltoidAnterior,DeltoidLateral,DeltoidPosterior,Biceps,Triceps,Forearms,Lats,Rhomboids,LowerBack,Abs,CoreStabilizers,Quadriceps,Hamstrings,Glutes,Calves
1001,3/4 sit-up,waist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.3,0.0,0.0,0.0
1002,45° side bend,waist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.7,0.4,0.0,0.0,0.0,0.0
1003,air bike,waist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.4,0.3,0.0,0.0,0.0
1004,alternate heel touchers,waist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.3,0.0,0.0,0.0,0.0
1005,alternate lateral pulldown,back,0.0,0.0,0.0,0.2,0.1,0.3,0.0,0.7,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1006,assisted chest dip (kneeling),chest,0.8,0.3,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
1007,assisted hanging knee raise with throw down,waist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.5,0.0,0.0,0.0,0.0
1008,assisted hanging knee raise,waist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.5,0.0,0.0,0.0,0.0
1009,assisted lying leg raise with lateral throw down,waist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.3,0.5,0.0,0.0,0.0
1010,assisted lying leg raise with throw down,waist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.3,0.5,0.0,0.0,0.0
1011,assisted motion russian twist,waist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.7,0.5,0.0,0.0,0.0,0.0
